phase,setup,kernel,batch,seq_len,context_len,decode_steps,model_dim,num_heads,overlap_frac,single_latency_ms_p50,predicted_dual_latency_ms_p50,predicted_speedup_single_over_dual,dual_wins,scenario_label
kernel,dual_die_naive,attention,1,1024,0,0,1024,16,0.9,1.143543,15.610173916827055,0.07325626262032307,False,dual_die_naive|attention|B1|S1024|D1024
kernel,dual_die_optimized,attention,1,1024,0,0,1024,16,0.0,1.143543,196.81264116827057,0.005810312758428435,False,dual_die_optimized|attention|B1|S1024|D1024
kernel,dual_die_optimized,attention,1,1024,0,0,1024,16,0.25,1.143543,160.38161637620294,0.007130137641945328,False,dual_die_optimized|attention|B1|S1024|D1024
kernel,dual_die_optimized,attention,1,1024,0,0,1024,16,0.5,1.143543,123.95059158413528,0.009225797032390804,False,dual_die_optimized|attention|B1|S1024|D1024
kernel,dual_die_optimized,attention,1,1024,0,0,1024,16,0.75,1.143543,87.51956679206765,0.013066141000410496,False,dual_die_optimized|attention|B1|S1024|D1024
kernel,dual_die_optimized,attention,1,1024,0,0,1024,16,0.9,1.143543,65.66095191682706,0.01741587605139398,False,dual_die_optimized|attention|B1|S1024|D1024
kernel,dual_die_naive,mlp,1,1024,0,0,1024,16,0.0,1.082203,15.14437900805613,0.07145905417609508,False,dual_die_naive|mlp|B1|S1024|D1024
kernel,dual_die_naive,mlp,1,1024,0,0,1024,16,0.25,1.082203,11.633671256042097,0.09302334372203822,False,dual_die_naive|mlp|B1|S1024|D1024
kernel,dual_die_naive,mlp,1,1024,0,0,1024,16,0.5,1.082203,8.122963504028066,0.13322760830617428,False,dual_die_naive|mlp|B1|S1024|D1024
kernel,dual_die_naive,mlp,1,1024,0,0,1024,16,0.75,1.082203,4.612255752014033,0.23463638145552418,False,dual_die_naive|mlp|B1|S1024|D1024
kernel,dual_die_naive,mlp,1,1024,0,0,1024,16,0.9,1.082203,2.505831100805613,0.4318738799482842,False,dual_die_naive|mlp|B1|S1024|D1024
kernel,dual_die_optimized,mlp,1,1024,0,0,1024,16,0.0,1.082203,14.326552008056131,0.07553827322802122,False,dual_die_optimized|mlp|B1|S1024|D1024
